dma_code,baseline_month,current_avg_mnf,baseline_avg_mnf,mnf_delta_pct,mnf_delta_abs,mnf_color,current_avg_daily_total,baseline_avg_daily_total,inflow_delta_pct,inflow_delta_abs,inflow_color,n_valid_days_current,n_valid_days_baseline,current_window_start,current_window_end,generated_at
DM-01-02-01-01,2025-09,42.566,72.185,-41.03,-29.62,green,2010.1,2820.62,-28.74,-810.52,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-02-01-02,2025-09,0.0,89.996,-100.0,-90.0,green,0.0,3554.05,-100.0,-3554.05,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-02-02-01,2025-09,180.121,233.532,-22.87,-53.41,green,7225.6,8585.35,-15.84,-1359.75,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-02-02-02,2025-09,19.698,33.515,-41.23,-13.82,green,1001.97,1036.15,-3.3,-34.18,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-02-03-02,2025-09,53.253,64.814,-17.84,-11.56,green,2488.13,2884.32,-13.74,-396.19,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-02-04-02,2025-09,44.369,25.205,76.03,19.16,red,1960.28,1299.23,50.88,661.05,red,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-02-04-03,2025-09,34.536,41.202,-16.18,-6.67,green,1393.64,1955.84,-28.74,-562.2,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-02-05-01,2025-09,55.393,60.837,-8.95,-5.44,green,2203.02,2408.47,-8.53,-205.45,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-03-01-01,2025-09,0.0,0.0,,,gray,0.0,0.0,,,gray,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-03-02-01,2025-09,106.783,101.297,5.42,5.49,yellow,4435.74,4572.85,-3.0,-137.11,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-03-03-01,2025-09,6.949,0.327,2025.08,6.62,red,150.67,8.8,1612.16,141.87,red,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-03-04-01,2025-09,281.956,250.498,12.56,31.46,yellow,10885.82,10002.41,8.83,883.41,yellow,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-03-05-01,2025-09,51.268,122.358,-58.1,-71.09,green,5846.53,5812.51,0.59,34.02,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-03-05-02,2025-09,1.071,0.918,16.67,0.15,yellow,26.78,23.67,13.14,3.11,yellow,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-03-06-01,2025-09,41.697,68.027,-38.71,-26.33,green,2399.33,2673.42,-10.25,-274.09,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-03-06-02,2025-09,26.152,33.38,-21.65,-7.23,green,1452.54,1391.79,4.36,60.75,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-03-06-03,2025-09,34.546,83.194,-58.48,-48.65,green,2047.39,3187.74,-35.77,-1140.35,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-01-04-01-01,2025-09,38.364,68.94,-44.35,-30.58,green,3793.21,3746.58,1.24,46.63,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
